open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1754574420000,3848.17000000,3851.89000000,3847.79000000,3851.58000000,449.02890000,1754574479999,1728335.04036200,4207,362.96590000,1397090.57241200,0
1754574480000,3851.59000000,3851.87000000,3848.84000000,3849.77000000,244.11440000,1754574539999,939923.52249000,3235,82.80160000,318820.59576700,0
1754574540000,3849.77000000,3857.69000000,3849.76000000,3857.44000000,237.38570000,1754574599999,914695.24509800,3066,155.53970000,599394.18950400,0
1754574600000,3857.44000000,3865.64000000,3857.44000000,3864.08000000,1156.29840000,1754574659999,4466438.20553100,6178,767.40100000,2964243.34810400,0
1754574660000,3864.08000000,3864.96000000,3858.10000000,3858.20000000,411.70340000,1754574719999,1590314.54410500,3871,102.46860000,395870.18589300,0
1754574720000,3858.20000000,3859.45000000,3855.78000000,3857.12000000,352.73910000,1754574779999,1360762.15884000,3314,147.58560000,569420.34172100,0
1754574780000,3857.11000000,3859.60000000,3855.01000000,3855.50000000,312.98770000,1754574839999,1207227.34465100,3815,179.69010000,693083.79828000,0
1754574840000,3855.50000000,3856.99000000,3852.34000000,3856.58000000,251.38910000,1754574899999,969029.96030200,2959,101.29830000,390486.80872600,0
1754574900000,3856.58000000,3857.18000000,3852.57000000,3856.35000000,582.86550000,1754574959999,2246409.20147900,4248,368.66570000,1420711.16161800,0
1754574960000,3856.36000000,3863.79000000,3856.35000000,3861.92000000,795.79780000,1754575019999,3072540.62039300,4101,557.96680000,2154102.75365600,0
1754575020000,3861.91000000,3861.92000000,3854.17000000,3854.18000000,691.01140000,1754575079999,2665713.03424200,3453,179.98540000,694316.46520100,0
1754575080000,3854.17000000,3855.98000000,3852.81000000,3854.62000000,284.77990000,1754575139999,1097751.01031200,2592,125.93530000,485422.75786200,0
1754575140000,3854.63000000,3857.69000000,3854.62000000,3857.69000000,140.03250000,1754575199999,539996.19789800,1040,100.48090000,387473.92798700,0
1754575200000,3857.69000000,3858.24000000,3854.99000000,3856.13000000,228.85700000,1754575259999,882709.08967600,1626,53.06110000,204634.46742500,0
1754575260000,3856.14000000,3856.14000000,3851.73000000,3852.63000000,204.56130000,1754575319999,788263.08802100,2293,37.05640000,142798.53956200,0
1754575320000,3852.63000000,3855.47000000,3851.78000000,3853.59000000,297.78100000,1754575379999,1147605.61405600,2427,141.83880000,546645.39586600,0
1754575380000,3853.58000000,3853.59000000,3851.56000000,3852.86000000,208.53350000,1754575439999,803434.39672200,1865,76.62420000,295211.59250800,0
1754575440000,3852.85000000,3853.06000000,3851.82000000,3851.82000000,188.61980000,1754575499999,726654.59456200,1220,66.07120000,254536.64865600,0
1754575500000,3851.83000000,3851.83000000,3844.59000000,3844.86000000,578.46170000,1754575559999,2226873.72631300,3689,65.82530000,253456.56339800,0
1754575560000,3844.86000000,3846.44000000,3842.39000000,3846.43000000,581.93060000,1754575619999,2237449.07528300,4223,305.81230000,1175785.16819000,0
1754575620000,3846.43000000,3847.24000000,3844.43000000,3844.43000000,233.22660000,1754575679999,896950.05895200,2626,60.76820000,233731.76856400,0
1754575680000,3844.43000000,3844.43000000,3834.28000000,3837.46000000,755.34230000,1754575739999,2898647.01975300,7265,189.16730000,725766.07761200,0
1754575740000,3837.45000000,3838.13000000,3834.41000000,3834.41000000,611.57760000,1754575799999,2346632.38104200,3866,255.60990000,980828.61121200,0
1754575800000,3834.42000000,3836.71000000,3832.50000000,3834.97000000,955.65280000,1754575859999,3663900.47661000,5791,578.37920000,2217272.78475200,0
1754575860000,3834.97000000,3837.00000000,3833.64000000,3833.64000000,522.82710000,1754575919999,2005357.87588300,4284,302.71680000,1161128.20591200,0
1754575920000,3833.64000000,3834.86000000,3829.91000000,3834.21000000,626.52360000,1754575979999,2400888.00327800,4740,248.55350000,952441.37202800,0
1754575980000,3834.20000000,3834.20000000,3829.50000000,3829.99000000,573.29550000,1754576039999,2196184.57979900,3465,114.18270000,437410.68273900,0
1754576040000,3829.99000000,3830.67000000,3828.65000000,3830.00000000,871.10240000,1754576099999,3336371.36550900,4263,359.41970000,1376635.48363400,0
1754576100000,3830.00000000,3833.06000000,3827.74000000,3827.75000000,688.57940000,1754576159999,2637703.53047400,4364,358.17940000,1372074.59640500,0
1754576160000,3827.75000000,3835.37000000,3827.74000000,3835.37000000,696.57360000,1754576219999,2669420.31061900,3925,569.38480000,2182100.16850500,0
1754576220000,3835.37000000,3840.11000000,3835.36000000,3838.77000000,904.18140000,1754576279999,3470324.75993400,4002,724.89690000,2782101.00749900,0
1754576280000,3838.78000000,3840.52000000,3836.25000000,3836.39000000,272.51060000,1754576339999,1045974.55958700,2939,134.25680000,515244.86560000,0
1754576340000,3836.39000000,3840.00000000,3835.86000000,3837.30000000,282.74970000,1754576399999,1085212.31808500,2900,185.48410000,711886.86825700,0
1754576400000,3837.30000000,3840.93000000,3837.30000000,3837.30000000,514.50050000,1754576459999,1975833.00123100,2817,314.54700000,1207955.28451000,0
1754576460000,3837.30000000,3838.04000000,3834.72000000,3834.72000000,286.90670000,1754576519999,1100692.50721100,3149,91.62410000,351522.63278000,0
1754576520000,3834.73000000,3836.51000000,3831.98000000,3835.48000000,415.93740000,1754576579999,1594513.17259000,3076,199.23490000,763754.49540900,0
1754576580000,3835.49000000,3837.20000000,3834.50000000,3836.65000000,233.10670000,1754576639999,894084.56640800,2790,130.21110000,499409.98126300,0
1754576640000,3836.64000000,3836.65000000,3830.00000000,3830.01000000,555.55520000,1754576699999,2129446.14555700,4000,76.75670000,294262.10289900,0
1754576700000,3830.01000000,3835.49000000,3830.00000000,3835.33000000,251.61030000,1754576759999,964372.52931700,2525,88.85980000,340581.85709400,0
1754576760000,3835.33000000,3838.85000000,3832.39000000,3833.73000000,335.12970000,1754576819999,1285197.94341900,3381,127.55390000,489256.21565300,0
1754576820000,3833.73000000,3834.00000000,3831.55000000,3833.45000000,208.79930000,1754576879999,800300.20294000,2876,114.08150000,437240.24050400,0
1754576880000,3833.45000000,3834.10000000,3828.29000000,3829.99000000,546.22810000,1754576939999,2092553.00656000,3432,105.95360000,405817.85960900,0
1754576940000,3830.00000000,3831.46000000,3828.00000000,3831.12000000,340.95810000,1754576999999,1305634.35554000,2690,169.23640000,648132.29763800,0
1754577000000,3831.13000000,3832.12000000,3825.10000000,3825.40000000,580.02030000,1754577059999,2220371.39021300,4528,79.03740000,302715.11102200,0
1754577060000,3825.40000000,3827.19000000,3816.32000000,3817.71000000,2704.37700000,1754577119999,10336915.26168200,10935,818.36010000,3127669.84056800,0
1754577120000,3817.71000000,3818.78000000,3810.22000000,3817.57000000,2182.70880000,1754577179999,8326282.26834000,10131,743.07660000,2834792.49349100,0
1754577180000,3817.57000000,3820.00000000,3815.00000000,3817.20000000,1093.34460000,1754577239999,4174011.39669600,5471,789.06980000,3012325.54068900,0
1754577240000,3817.20000000,3822.73000000,3816.80000000,3821.93000000,1000.99780000,1754577299999,3823794.57823400,4769,454.73480000,1737129.07185300,0
1754577300000,3821.93000000,3825.50000000,3821.05000000,3825.50000000,973.72190000,1754577359999,3722575.70708700,4070,610.91580000,2335719.36497600,0
1754577360000,3825.50000000,3825.84000000,3819.41000000,3821.74000000,562.76500000,1754577419999,2150984.16998900,4242,350.34630000,1339037.98904300,0
1754577420000,3821.74000000,3825.00000000,3821.33000000,3822.59000000,1735.81890000,1754577479999,6636536.66712400,3906,1445.77970000,5527655.88663500,0
1754577480000,3822.59000000,3827.48000000,3822.58000000,3825.20000000,1301.51630000,1754577539999,4979040.95577400,3714,1020.82750000,3905130.81165200,0
1754577540000,3825.19000000,3826.61000000,3824.67000000,3826.54000000,394.09110000,1754577599999,1507665.71742700,3000,274.25130000,1049212.39411800,0
1754577600000,3826.54000000,3828.98000000,3822.94000000,3824.57000000,635.03740000,1754577659999,2429956.21570700,4255,381.46060000,1459690.82943600,0
1754577660000,3824.57000000,3824.57000000,3818.25000000,3818.25000000,524.63160000,1754577719999,2004716.73448200,3604,321.36530000,1227909.49001000,0
1754577720000,3818.26000000,3818.34000000,3816.10000000,3817.40000000,791.08900000,1754577779999,3019955.49204000,3663,330.22290000,1260495.71053000,0
1754577780000,3817.40000000,3820.63000000,3817.39000000,3820.08000000,660.55070000,1754577839999,2522795.43594600,4086,386.68000000,1476733.18503700,0
1754577840000,3820.09000000,3820.09000000,3817.37000000,3817.56000000,463.36490000,1754577899999,1769097.38285200,2047,281.95160000,1076480.10655600,0
1754577900000,3817.55000000,3820.32000000,3816.79000000,3819.87000000,470.36640000,1754577959999,1796149.35578700,2845,350.72480000,1339281.76408000,0
1754577960000,3819.87000000,3819.87000000,3808.53000000,3809.87000000,2414.99670000,1754578019999,9203623.76218700,6594,448.46690000,1709729.29273800,0
1754578020000,3809.87000000,3810.42000000,3805.36000000,3808.61000000,1583.19680000,1754578079999,6028993.26715000,6758,484.92030000,1846478.50874800,0
1754578080000,3808.62000000,3809.45000000,3804.27000000,3807.60000000,1324.51770000,1754578139999,5041055.25669600,5940,619.20710000,2356897.92155200,0
1754578140000,3807.60000000,3812.22000000,3807.60000000,3811.31000000,864.30420000,1754578199999,3293471.44058000,5735,558.12930000,2126734.05424000,0
1754578200000,3811.30000000,3814.89000000,3810.84000000,3814.33000000,760.30340000,1754578259999,2899401.73336800,4591,553.82800000,2111971.90152500,0
1754578260000,3814.33000000,3815.71000000,3812.60000000,3815.21000000,797.00830000,1754578319999,3039889.53897900,3627,528.86810000,2017173.36469900,0
1754578320000,3815.22000000,3823.00000000,3815.21000000,3822.61000000,893.47860000,1754578379999,3412660.51581300,5016,700.16540000,2674281.48683500,0
1754578380000,3822.61000000,3823.00000000,3817.99000000,3819.08000000,714.95830000,1754578439999,2731850.32616500,4230,428.77520000,1638408.50717500,0
1754578440000,3819.08000000,3821.50000000,3817.27000000,3821.00000000,460.32630000,1754578499999,1758286.42550500,3081,359.12800000,1371796.41962500,0
1754578500000,3821.00000000,3821.82000000,3815.77000000,3815.77000000,647.22980000,1754578559999,2471794.52815200,3819,312.59710000,1193880.80478100,0
1754578560000,3815.78000000,3817.95000000,3815.77000000,3816.24000000,439.28630000,1754578619999,1676796.64761100,2463,280.61720000,1071118.13846400,0
1754578620000,3816.24000000,3818.79000000,3814.38000000,3818.49000000,389.08440000,1754578679999,1484787.58045200,3542,306.32230000,1168941.49645700,0
1754578680000,3818.49000000,3819.17000000,3816.60000000,3817.76000000,359.66200000,1754578739999,1373199.21200200,2643,253.49580000,967843.17967300,0
1754578740000,3817.77000000,3821.28000000,3816.12000000,3820.33000000,654.49610000,1754578799999,2498986.15744500,3123,484.00930000,1848205.40286700,0
1754578800000,3820.33000000,3822.96000000,3818.23000000,3820.51000000,396.26340000,1754578859999,1513753.80691100,3727,189.95400000,725664.60349200,0
1754578860000,3820.50000000,3825.69000000,3818.91000000,3824.64000000,514.71330000,1754578919999,1967419.15763700,4917,440.74270000,1684672.46252700,0
1754578920000,3824.65000000,3825.14000000,3818.48000000,3818.70000000,569.08620000,1754578979999,2175632.28645100,4574,355.01450000,1357263.34666400,0
1754578980000,3818.70000000,3823.61000000,3818.69000000,3822.92000000,447.24050000,1754579039999,1709400.91017300,3186,315.59360000,1206205.66034300,0
1754579040000,3822.91000000,3822.91000000,3817.27000000,3820.00000000,473.02440000,1754579099999,1806849.34332900,4535,315.29810000,1204357.58614700,0
1754579100000,3819.99000000,3821.31000000,3819.41000000,3820.01000000,659.12150000,1754579159999,2518047.70554400,3261,570.30990000,2178742.71009700,0
1754579160000,3820.01000000,3822.84000000,3819.33000000,3822.21000000,546.97990000,1754579219999,2089761.93990900,3258,476.94620000,1822151.56387300,0
1754579220000,3822.20000000,3824.26000000,3820.04000000,3821.19000000,562.03120000,1754579279999,2148581.70611900,3386,302.12550000,1154776.17253500,0
1754579280000,3821.20000000,3821.78000000,3815.13000000,3815.50000000,765.85090000,1754579339999,2923758.93816300,3133,308.74800000,1178960.73280500,0
1754579340000,3815.50000000,3822.73000000,3815.50000000,3821.97000000,490.00960000,1754579399999,1871812.47178300,3239,298.29090000,1139287.83625900,0
1754579400000,3821.98000000,3827.00000000,3821.21000000,3821.21000000,757.90100000,1754579459999,2898164.28143100,4336,605.15060000,2313987.52012600,0
1754579460000,3821.20000000,3824.42000000,3819.82000000,3824.00000000,597.88820000,1754579519999,2284774.27964100,3411,259.45670000,991766.57945100,0
1754579520000,3823.99000000,3824.00000000,3819.65000000,3820.09000000,432.92830000,1754579579999,1654627.76885100,2973,293.45480000,1121597.38540600,0
1754579580000,3820.09000000,3822.10000000,3820.08000000,3820.57000000,385.02150000,1754579639999,1471270.96047300,3110,246.34460000,941301.36275700,0
1754579640000,3820.57000000,3822.43000000,3820.26000000,3821.58000000,332.69320000,1754579699999,1271337.34543600,2510,244.74200000,935236.85539500,0
1754579700000,3821.59000000,3822.97000000,3816.45000000,3816.46000000,1063.66270000,1754579759999,4064869.52572300,4034,479.98580000,1834320.94543500,0
1754579760000,3816.45000000,3823.00000000,3816.45000000,3822.01000000,314.94020000,1754579819999,1203516.92304800,2957,238.31940000,910724.14384500,0
1754579820000,3822.01000000,3825.00000000,3821.23000000,3824.26000000,595.34200000,1754579879999,2276393.82765500,3258,453.75870000,1734969.42492000,0
1754579880000,3824.26000000,3827.02000000,3824.25000000,3825.60000000,430.01370000,1754579939999,1645125.84339300,2577,323.38670000,1237131.26195200,0
1754579940000,3825.60000000,3826.56000000,3823.88000000,3826.38000000,232.22700000,1754579999999,888415.53971900,2430,184.99000000,707713.85019900,0
1754580000000,3826.38000000,3830.79000000,3826.37000000,3828.21000000,965.23920000,1754580059999,3695601.21299000,4779,693.30230000,2654438.54493400,0
1754580060000,3828.20000000,3830.00000000,3826.66000000,3830.00000000,265.32990000,1754580119999,1015734.68411200,2446,185.25100000,709192.20613200,0
1754580120000,3830.00000000,3832.13000000,3827.23000000,3829.04000000,636.97170000,1754580179999,2439725.57601100,3966,361.96340000,1386518.67405700,0
1754580180000,3829.04000000,3829.54000000,3827.00000000,3829.54000000,281.84600000,1754580239999,1078887.29123200,3301,185.71390000,710915.72413700,0
1754580240000,3829.54000000,3834.25000000,3829.17000000,3833.57000000,550.05050000,1754580299999,2107661.64797300,4178,420.51700000,1611319.00981800,0
1754580300000,3833.56000000,3836.47000000,3829.61000000,3829.62000000,385.96130000,1754580359999,1479784.14574200,3334,194.93740000,747488.77952000,0
1754580360000,3829.61000000,3830.30000000,3827.89000000,3828.68000000,200.34270000,1754580419999,767165.31719000,1929,124.42150000,476445.43758900,0
1754580420000,3828.68000000,3828.68000000,3823.37000000,3823.37000000,390.10300000,1754580479999,1492673.60146400,2335,237.54070000,908985.77368900,0
1754580480000,3823.38000000,3827.99000000,3823.38000000,3827.58000000,299.08310000,1754580539999,1144435.84219600,2754,158.94500000,608214.80885900,0
1754580540000,3827.58000000,3828.97000000,3826.74000000,3828.96000000,375.24690000,1754580599999,1436392.17374200,2769,239.41020000,916432.19506200,0
1754580600000,3828.97000000,3832.48000000,3828.96000000,3832.41000000,267.71210000,1754580659999,1025518.64120000,3139,195.51880000,748984.05428500,0
1754580660000,3832.41000000,3834.34000000,3829.24000000,3829.40000000,244.32650000,1754580719999,936246.72928400,2412,115.32830000,441985.65410700,0
1754580720000,3829.41000000,3833.66000000,3829.41000000,3833.56000000,154.94120000,1754580779999,593807.65015400,1755,65.88820000,252472.22090600,0
1754580780000,3833.56000000,3834.24000000,3830.98000000,3831.40000000,182.85860000,1754580839999,700721.10758300,1368,101.57840000,389249.41203200,0
1754580840000,3831.40000000,3831.90000000,3827.13000000,3831.90000000,311.19000000,1754580899999,1191389.70733700,2608,60.82970000,232912.84108000,0
1754580900000,3831.91000000,3833.24000000,3831.81000000,3832.28000000,84.35550000,1754580959999,323297.05881900,1643,37.49190000,143682.67218900,0
1754580960000,3832.29000000,3834.52000000,3830.00000000,3833.72000000,247.73840000,1754581019999,949490.10654700,2216,195.44080000,749093.50536200,0
1754581020000,3833.72000000,3833.92000000,3830.29000000,3833.40000000,173.67170000,1754581079999,665590.73086400,2379,121.01310000,463776.72661300,0
1754581080000,3833.41000000,3839.43000000,3833.41000000,3837.86000000,573.06850000,1754581139999,2199046.55015500,4074,404.04970000,1550366.66693000,0
1754581140000,3837.87000000,3839.12000000,3835.97000000,3835.97000000,262.17920000,1754581199999,1006164.03319700,1470,119.29680000,457867.28760000,0
1754581200000,3835.95000000,3839.61000000,3835.95000000,3837.86000000,218.15820000,1754581259999,837283.47620500,2217,169.65850000,651118.40751300,0
1754581260000,3837.85000000,3841.00000000,3836.52000000,3838.91000000,440.33720000,1754581319999,1690664.93511500,3321,328.51040000,1261383.86904600,0
1754581320000,3838.91000000,3838.91000000,3833.07000000,3837.26000000,768.02260000,1754581379999,2945755.06359200,3477,196.42680000,753395.63593200,0
1754581380000,3837.26000000,3837.26000000,3834.12000000,3834.39000000,309.59630000,1754581439999,1187362.17808100,2004,117.53710000,450701.56030500,0
1754581440000,3834.39000000,3834.56000000,3831.43000000,3834.55000000,287.74230000,1754581499999,1102790.12696800,1999,120.30730000,461121.49572500,0
1754581500000,3834.55000000,3836.00000000,3832.83000000,3836.00000000,409.07690000,1754581559999,1568519.59931300,1983,125.68770000,482007.47623600,0
1754581560000,3835.99000000,3836.22000000,3830.18000000,3830.19000000,718.55520000,1754581619999,2755170.20963800,3142,367.75530000,1410310.90037500,0
1754581620000,3830.18000000,3833.70000000,3830.18000000,3833.57000000,492.98940000,1754581679999,1889159.49620700,2293,408.15090000,1564076.28374200,0
