open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1754572500000,116244.16000000,116250.01000000,116228.32000000,116228.33000000,7.27470000,1754572559999,845571.52182310,1520,0.58311000,67780.86232820,0
1754572560000,116228.33000000,116280.12000000,116200.00000000,116280.12000000,9.99515000,1754572619999,1161609.03384170,2514,6.99327000,812725.06508350,0
1754572620000,116280.12000000,116320.00000000,116277.99000000,116280.00000000,5.06544000,1754572679999,589092.18885470,2402,2.00897000,233625.01329170,0
1754572680000,116280.00000000,116280.01000000,116257.31000000,116257.32000000,1.96357000,1754572739999,228316.61732540,868,0.20069000,23335.85058070,0
1754572740000,116257.31000000,116269.17000000,116257.31000000,116269.17000000,1.70113000,1754572799999,197775.69237710,528,1.32227000,153727.06899890,0
1754572800000,116269.16000000,116311.27000000,116269.16000000,116311.26000000,8.64830000,1754572859999,1005805.32930660,1388,4.01674000,467125.43345910,0
1754572860000,116311.26000000,116311.27000000,116290.01000000,116290.02000000,5.45684000,1754572919999,634635.71677520,1169,2.56451000,298244.87400210,0
1754572920000,116290.01000000,116310.61000000,116280.01000000,116310.60000000,2.44991000,1754572979999,284897.27643100,1146,2.01427000,234233.36823300,0
1754572980000,116310.61000000,116340.93000000,116310.60000000,116332.00000000,2.65842000,1754573039999,309231.00999920,1160,1.74041000,202438.53710050,0
1754573040000,116332.00000000,116332.00000000,116285.99000000,116311.26000000,4.15545000,1754573099999,483299.31734220,1464,1.71750000,199746.26582650,0
1754573100000,116311.26000000,116340.93000000,116311.26000000,116340.93000000,5.69775000,1754573159999,662819.18444920,1081,4.55548000,529940.00404130,0
1754573160000,116340.92000000,116397.46000000,116340.92000000,116397.45000000,6.11460000,1754573219999,711546.23687330,1469,5.47165000,636716.24999940,0
1754573220000,116397.46000000,116442.87000000,116397.46000000,116409.70000000,8.53508000,1754573279999,993699.53395150,2263,3.89477000,453422.94855650,0
1754573280000,116409.70000000,116409.70000000,116364.23000000,116376.98000000,3.63045000,1754573339999,422510.41791170,1738,1.81427000,211130.53794450,0
1754573340000,116376.99000000,116400.00000000,116364.23000000,116400.00000000,10.49280000,1754573399999,1221195.64825520,1520,4.17446000,485848.01026390,0
1754573400000,116400.00000000,116448.12000000,116400.00000000,116402.22000000,30.28365000,1754573459999,3525583.31978350,2558,25.27179000,2942044.24972370,0
1754573460000,116402.21000000,116413.86000000,116332.02000000,116413.85000000,8.69485000,1754573519999,1011810.34943810,3569,4.55718000,530320.73514470,0
1754573520000,116413.85000000,116468.14000000,116347.03000000,116468.14000000,41.46178000,1754573579999,4827087.28334490,3517,37.20070000,4331100.92619860,0
1754573580000,116468.13000000,116514.98000000,116415.93000000,116415.95000000,16.99548000,1754573639999,1979285.34552570,3425,8.60698000,1002417.98838980,0
1754573640000,116415.94000000,116500.00000000,116415.94000000,116500.00000000,16.83779000,1754573699999,1960858.09677260,1441,12.94035000,1506911.74581040,0
1754573700000,116500.00000000,116573.36000000,116475.45000000,116573.35000000,52.28582000,1754573759999,6091700.52994530,4096,44.06573000,5134008.79729250,0
1754573760000,116573.35000000,116616.34000000,116549.42000000,116556.02000000,27.28230000,1754573819999,3180841.94451840,5058,17.51291000,2041754.71391800,0
1754573820000,116556.02000000,116587.39000000,116525.02000000,116549.33000000,15.27187000,1754573879999,1780226.55040460,2070,9.71125000,1132038.40830800,0
1754573880000,116549.34000000,116617.32000000,116549.34000000,116617.31000000,15.34568000,1754573939999,1788928.81187990,2103,10.59003000,1234612.57201910,0
1754573940000,116617.32000000,116723.57000000,116602.82000000,116723.57000000,12.97983000,1754573999999,1514009.21346920,4437,8.25834000,963321.04767610,0
1754574000000,116723.57000000,116740.00000000,116701.39000000,116701.39000000,14.98355000,1754574059999,1748947.77385880,4302,5.45324000,636510.60421390,0
1754574060000,116701.39000000,116741.05000000,116640.00000000,116726.59000000,25.38457000,1754574119999,2962414.08563960,3834,13.23548000,1544646.06616050,0
1754574120000,116725.18000000,116730.52000000,116544.79000000,116544.79000000,21.86892000,1754574179999,2551477.16363270,5305,8.43726000,984594.46046590,0
1754574180000,116544.80000000,116544.80000000,116490.17000000,116519.99000000,30.61174000,1754574239999,3566438.68372120,5182,5.61636000,654371.22143400,0
1754574240000,116520.00000000,116610.94000000,116498.76000000,116610.94000000,10.74196000,1754574299999,1251929.21000360,3365,5.18782000,604644.88644470,0
1754574300000,116610.93000000,116610.93000000,116427.96000000,116427.97000000,21.96345000,1754574359999,2559239.20519920,5073,4.67023000,544180.18689820,0
1754574360000,116427.96000000,116495.79000000,116424.72000000,116449.98000000,15.56554000,1754574419999,1812718.77263640,4346,7.60965000,886096.94982460,0
1754574420000,116449.98000000,116497.25000000,116440.00000000,116487.10000000,12.99128000,1754574479999,1513120.79708780,4007,6.76933000,788403.78745790,0
1754574480000,116487.10000000,116487.11000000,116417.24000000,116438.00000000,8.27610000,1754574539999,963645.06563910,2841,1.97264000,229665.56617570,0
1754574540000,116438.00000000,116567.00000000,116437.99000000,116564.00000000,13.79525000,1754574599999,1607488.25978190,2241,5.83052000,679253.06972640,0
